""	"MS"	"mL"
"649431"	0.002	0.001
"649432"	0	0
"649434"	0.001	0.003
"649436"	-0.003	-0.003
"649442"	0	0.002
"649443"	0.001	0
"649445"	0.001	0.001
"649446"	0	0.002
"649447"	-0.004	-0.004
"649452"	0.001	0
"649455"	0.002	0
"649456"	0.005	0.003
"649458"	0.001	0
"64946"	-0.001	-0.001
"649461"	0	0
"649466"	0	0
"649469"	0	0.001
"649470"	0	0.002
"649471"	-0.002	0
"649477"	-0.001	-0.003
"649484"	0	-0.002
"649486"	0.001	0.002
"64949"	0.006	-0.009
"649493"	0.001	0.002
"649495"	-0.001	-0.003
"649496"	-0.002	-0.002
"649497"	-0.001	-0.001
"6495"	-0.002	0
"649500"	0	-0.002
"649501"	-0.002	-0.001
"649503"	0	0.001
"649504"	0.001	0.003
"649509"	0	0.003
"64951"	-0.007	-0.011
"649516"	-0.001	0
"649518"	0.005	-0.006
"649524"	0.001	0.003
"649527"	-0.001	-0.001
"649536"	0.001	0.001
"649540"	0.003	0
"649542"	0.001	0.002
"649546"	0	-0.001
"649555"	0.005	0.006
"649557"	0	0
"649561"	0.001	0.014
"649563"	0.001	-0.001
"649564"	0	-0.001
"649571"	0.001	0.002
"649578"	-0.002	-0.003
"649583"	0	0.001
"649584"	0.003	0.002
"649588"	0.004	0.003
"649589"	0.001	0
"649591"	-0.002	-0.003
"649593"	-0.001	-0.001
"649596"	0.001	-0.001
"649598"	0	-0.001
"6496"	0.001	-0.002
"64960"	-0.004	-0.005
"649604"	0.001	0.006
"649607"	0.001	0.001
"649613"	-0.001	0.001
"649616"	-0.001	0
"649620"	0	0
"649622"	0	0
"649627"	-0.002	-0.005
"649628"	0	0.003
"64963"	-0.009	-0.006
"649635"	0	0.001
"649639"	0.006	-0.003
"649641"	0.001	-0.001
"64965"	0	-0.005
"649652"	0.002	0.001
"649653"	-0.001	-0.002
"649657"	0.002	0.001
"649659"	0.002	0.001
"649661"	-0.001	-0.004
"649667"	0	-0.001
"649676"	0.001	-0.001
"649679"	0.001	0.001
"64968"	0.004	0
"649680"	-0.002	0
"649682"	-0.003	-0.006
"649683"	-0.002	0.001
"649684"	0	0
"649686"	0.001	0
"64969"	-0.006	-0.005
"6497"	0.008	-0.003
"649700"	0	-0.001
"649701"	-0.002	-0.003
"649702"	0	0
"649703"	-0.001	-0.004
"649707"	0.001	0.001
"649708"	0.002	-0.009
"649711"	0.001	0.005
"649712"	-0.001	-0.002
"649722"	0.001	-0.001
"649723"	-0.001	0
"649734"	0.003	-0.003
"649738"	0	0
"649745"	0	0
"649747"	0.001	-0.002
"649749"	0	-0.001
"64975"	0	0.003
"649752"	0	0
"649754"	0	-0.002
"649757"	-0.002	0.002
"649758"	0.001	0
"64976"	-0.003	-0.003
"649762"	0.001	0.001
"649765"	0	-0.002
"649768"	0	0
"649769"	0.001	0
"649770"	0.001	0.002
"649771"	0.001	-0.001
"649773"	-0.001	0
"649775"	0.001	-0.001
"64978"	-0.003	-0.006
"649783"	0.001	0.002
"649784"	-0.001	-0.001
"64979"	0.003	-0.001
"6498"	0.004	0.003
"649800"	0	0.001
"649801"	0.003	0.005
"649804"	-0.001	0
"64981"	-0.003	0.002
"649810"	0	-0.001
"649812"	-0.002	0.004
"649813"	-0.001	-0.002
"649817"	-0.001	-0.004
"649821"	-0.002	-0.001
"649823"	0.002	0.003
"649826"	0.001	0.002
"64983"	0.002	-0.001
"649834"	-0.002	-0.004
"649835"	0	-0.001
"649841"	0.001	-0.006
"649851"	0.002	0
"649853"	-0.001	-0.008
"649856"	0	0.001
"649857"	0.002	0.002
"649858"	0	0.001
"649859"	0.016	0.013
"649864"	0	0.007
"649871"	0.002	0
"649878"	0.002	-0.001
"649886"	0	0.001
"649891"	0.001	0.001
"649892"	0	-0.001
"649896"	-0.001	0.001
"649897"	-0.001	-0.003
"6499"	-0.004	0.003
"649902"	-0.001	0
"649905"	0.001	0.002
"649908"	-0.001	0.001
"649909"	0	0.002
"649910"	0	-0.003
"649917"	0.004	0.002
"649921"	0.002	0.002
"649923"	0.013	0
"649926"	0.002	0.003
"649932"	0.001	0.001
"649935"	0	0
"649937"	0.001	0.002
"649939"	-0.001	-0.003
"649940"	-0.001	-0.002
"649942"	0	0.001
"649944"	0.005	0
"649945"	0	0
"649946"	0	-0.003
"649947"	0	0
"649948"	-0.001	0
"649951"	-0.001	-0.003
"649952"	0.001	0.003
"649956"	-0.002	-0.002
"649957"	-0.002	0
"649963"	0	-0.001
"649965"	0.001	-0.001
"649967"	0	0
"649970"	-0.014	-0.016
"649974"	0.001	-0.001
"649975"	0	-0.001
"649977"	0	0.006
"649978"	-0.001	-0.002
"649979"	0	-0.001
"649984"	0	-0.001
"649986"	-0.021	-0.008
"649987"	0	-0.001
"649989"	0.001	0.001
"649990"	0.002	0
"649991"	0.002	0
"649993"	0.001	0
"649999"	0.001	-0.003
"650"	0.01	-0.019
"6500"	0.001	0.002
"650000"	-0.002	-0.002
"650001"	0.003	0.002
"650003"	0.001	-0.003
"650005"	0	0.001
"650006"	-0.001	0
"650008"	0	0.001
"650009"	-0.001	-0.001
"650010"	-0.002	-0.001
"650013"	0.001	0
"650014"	-0.001	0.001
"650019"	0	0.001
"650020"	0.003	0.002
"650024"	0.001	0.004
"650026"	-0.003	-0.003
"650028"	0	0
"650029"	0.004	0.003
"65003"	-0.006	-0.009
"650030"	-0.001	-0.003
"650034"	0	0.003
"650036"	0	0
"650037"	-0.002	-0.004
"650038"	0	-0.004
"650040"	-0.003	-0.006
"650047"	0	-0.001
"65005"	-0.009	-0.006
"650058"	0	-0.002
"650061"	0.001	0.001
"650062"	0	-0.001
"650074"	0.001	0.002
"650076"	0	0
"65008"	0.003	-0.007
"650087"	0.001	-0.001
"65009"	0.001	-0.002
"650098"	0	-0.002
"65010"	0	0
"650103"	-0.001	0
"650107"	-0.002	-0.002
"650111"	0.015	0.004
"650114"	-0.002	-0.002
"650116"	0.001	-0.001
"650118"	-0.002	0
"65012"	0.005	0.002
"650120"	0	0
"650122"	-0.005	-0.004
"650128"	0.005	0.001
"650132"	-0.001	0.002
"650137"	0	0
"650140"	-0.001	-0.004
"650141"	-0.003	-0.001
"650144"	-0.002	0
"650146"	0	0.001
"650147"	-0.003	-0.004
"650148"	0.001	0.001
"650151"	0	0.002
"650154"	0.001	0
"650155"	-0.001	-0.002
"650159"	-0.001	0.001
"650162"	-0.001	-0.002
"650167"	-0.003	-0.002
"650174"	0.001	0
"650175"	0	-0.001
"65018"	-0.005	0
"650180"	-0.002	-0.003
"650185"	-0.002	-0.001
"650187"	0.002	0
"650188"	0.001	-0.001
"650195"	-0.001	-0.003
"6502"	-0.004	-0.01
"650200"	-0.016	0.006
"650203"	0.001	0.002
"650210"	-0.001	-0.003
"650212"	0	-0.001
"650214"	-0.002	-0.001
"650217"	0	-0.001
"650220"	-0.001	-0.003
"650224"	0.001	0.003
"650227"	0.002	0.004
"650230"	-0.009	-0.01
"650235"	0.001	-0.002
"650238"	-0.001	-0.001
"650239"	0.003	0.003
"650241"	0	0.001
"650243"	-0.001	-0.001
"650247"	-0.001	-0.001
"650251"	-0.002	-0.003
"650253"	0	0
"650254"	-0.003	-0.002
"650256"	-0.001	-0.003
"650257"	0	0.002
"650261"	0.003	0.001
"650263"	0.002	0.003
"650268"	-0.001	0
"650274"	-0.001	0.001
"650276"	-0.001	-0.001
"650278"	-0.003	-0.001
"650280"	0.001	0.001
"650285"	0	0
"650293"	0	-0.001
"650295"	-0.002	0
"650296"	0	-0.001
"650298"	0.001	-0.01
"6503"	0.001	0
"650304"	0.005	0.005
"650311"	-0.001	-0.003
"650314"	0.001	0.003
"650321"	0.001	0.004
"650325"	-0.003	-0.002
"650329"	0	0.002
"650330"	-0.001	-0.002
"650339"	0.004	0.005
"650341"	0.001	-0.001
"650342"	0	0.001
"650345"	0	0
"650346"	0.003	-0.001
"650349"	0	0
"650361"	0.001	0.001
"650363"	0	-0.001
"650370"	-0.001	0
"650373"	0.002	0.003
"650387"	-0.001	0
"650392"	-0.001	-0.003
"650399"	0.002	0.005
"6504"	0.016	0.009
"650406"	0	0
"650407"	0	-0.003
"650410"	-0.001	0
"650412"	-0.001	-0.001
"650418"	0.001	0
"650422"	-0.001	0
"650427"	0.002	0.002
"650428"	-0.003	-0.006
"650429"	0.001	0.003
"650436"	0.001	0.003
"650439"	-0.001	0
"650454"	0	0
"650455"	0.001	0.002
"650458"	0	-0.001
"650463"	0.001	0.003
"650468"	-0.001	-0.003
"650472"	-0.001	-0.003
"650475"	-0.002	-0.002
"650482"	0.001	-0.001
"650488"	0	0
"650491"	0.001	0.003
"650494"	0.001	0.003
"650495"	0.004	-0.002
"650498"	-0.002	0
"6505"	-0.003	0.001
"650501"	0.001	0.002
"650508"	-0.001	-0.002
"650509"	0	0
"650513"	0	-0.003
"650517"	0.014	0.002
"650518"	-0.003	0.001
"650520"	0.001	0.002
"650526"	-0.003	0
"650528"	-0.001	-0.001
"650534"	-0.001	0
"650538"	-0.001	-0.002
"650543"	-0.001	-0.004
"650546"	0.005	-0.001
"650548"	-0.001	0.001
"650549"	0.001	0.001
"65055"	-0.002	0.008
"650553"	-0.001	-0.001
"650556"	-0.001	-0.001
"650557"	0	0.001
"65056"	0.002	0.005
"650562"	-0.001	0
"650566"	0	0
"650568"	0.002	0.001
"65057"	0.008	0.006
"650577"	0.001	0
"650580"	0.006	0.002
"650584"	-0.001	0
"650586"	0.002	-0.002
"650588"	-0.001	-0.001
"65059"	0.005	0.005
"650590"	0.001	0.001
"650594"	0.001	0.001
"650598"	0.003	0.001
"650599"	-0.001	-0.003
"6506"	0	0.002
"65061"	0	0.001
"650611"	-0.006	-0.003
"650612"	-0.001	0.001
"65062"	0.008	0
"650620"	0	-0.002
"650628"	0.003	0
"650631"	0	0
"650632"	-0.001	-0.001
"650634"	-0.002	-0.003
"650638"	-0.001	0.001
"650642"	0.001	0
"650645"	0	-0.001
"65065"	0	0.006
"650651"	-0.004	-0.003
"650654"	-0.003	-0.005
"650656"	0.001	0
"650657"	0.001	0.001
"650659"	-0.002	-0.001
"650662"	-0.004	-0.003
"650667"	-0.006	0.003
"650668"	-0.002	-0.004
"650673"	0	0
"650674"	-0.002	0.001
"650677"	-0.001	-0.002
"650678"	0.001	-0.001
"65068"	0.002	0.002
"650680"	0	-0.001
"650681"	-0.001	0.001
"650683"	0.005	-0.001
"650684"	0.003	0.002
"650686"	-0.001	0
"650687"	0.001	0.001
"650689"	0	-0.001
"650695"	0	-0.002
"650698"	0.001	-0.001
"6507"	0.017	-0.018
"650706"	-0.001	0
"650708"	0.001	0.001
"650712"	-0.001	0
"650713"	0	-0.001
"650716"	-0.002	-0.001
"650717"	0.002	-0.001
"650719"	0.002	0.003
"650721"	-0.002	-0.001
"650724"	0.001	0.002
"650725"	0	0
"650733"	0.001	0
"650737"	-0.004	-0.005
"650739"	-0.001	0
"650744"	0.001	0
"650749"	-0.001	0
"650751"	0	-0.001
"650755"	0	0
"650757"	0.002	0.002
"650759"	0.003	0.001
"650761"	0	0
"650766"	-0.001	-0.004
"650767"	0.001	0
"650769"	-0.001	0
"650770"	-0.003	0.002
"650771"	-0.001	-0.001
"650776"	0.002	0.002
"650779"	-0.001	0.001
"65078"	-0.007	0.002
"650780"	0.002	-0.001
"650781"	-0.001	0
"650783"	-0.001	0
"650784"	-0.001	-0.001
"650787"	-0.001	-0.002
"650788"	0.001	-0.002
"650791"	0	-0.002
"650792"	-0.001	0.001
"650793"	-0.001	-0.001
"650794"	0	0
"650795"	0.001	0
"650796"	-0.001	0
"650798"	0.002	0.002
"650799"	0.001	0.001
"6508"	0.007	0.004
"65080"	-0.001	0
"650803"	0.009	0.005
"650804"	-0.001	-0.002
"650805"	-0.002	0
"650810"	0	0.001
"650812"	0	-0.002
"650813"	-0.001	-0.002
"650815"	0.002	0.001
"650816"	0.001	0.001
"65082"	-0.008	-0.001
"650822"	-0.001	0
"650823"	0.001	0.001
"650826"	-0.004	-0.003
"65083"	0.004	0
"650830"	-0.001	-0.002
"650831"	-0.001	-0.001
"650832"	0.001	-0.002
"650836"	0	-0.001
"65084"	-0.009	0.001
"650840"	0	-0.001
"650841"	0	-0.001
"650843"	0.001	0.003
"650845"	0.002	0.001
"650846"	0.001	0.003
"650849"	-0.001	-0.003
"650850"	0.003	0.001
"650851"	0.001	0.003
"650852"	-0.001	0.002
"650853"	0	-0.003
"650862"	0.004	0.001
"650867"	0.001	-0.002
"650869"	-0.001	-0.002
"650874"	0	-0.006
"650881"	0	0.002
"650883"	-0.001	-0.003
"650885"	0.002	0
"650887"	-0.002	0
"650889"	-0.001	-0.003
"650893"	0.001	0.002
"650898"	0	0.001
"6509"	0.012	0.017
"650901"	0.001	0
"650905"	0.001	-0.001
"650909"	0.001	0.002
"650914"	0.002	0.002
"650919"	0.003	0.002
"650921"	0.002	0.003
"650924"	-0.002	-0.003
"650930"	0	0
"650933"	0	-0.001
"650938"	0.003	0.003
"65094"	-0.006	-0.009
"650942"	-0.001	-0.002
"650943"	-0.002	-0.002
"650946"	0.002	0.003
"65095"	0.01	-0.001
"650950"	0.001	0
"650954"	-0.011	-0.009
"650957"	0	0
"650962"	0.001	-0.002
"650965"	0	-0.001
"650967"	-0.001	-0.002
"650968"	-0.001	-0.004
"650974"	0.003	0.004
"650975"	0	0.001
"650976"	-0.001	-0.001
"650979"	0.001	0.001
"650982"	-0.002	0.002
"650984"	-0.001	-0.002
"650985"	-0.001	0.001
"650990"	0.001	0.002
"650995"	-0.001	-0.003
"650999"	-0.001	-0.001
"651"	0.001	0.003
"6510"	0.013	-0.008
"651004"	0.002	-0.001
"651006"	-0.001	-0.002
"651007"	-0.001	-0.001
"651008"	-0.001	-0.002
"651012"	0.002	0.002
"651017"	0	0
"651022"	-0.003	-0.003
"651023"	0	0.005
"651029"	0.001	0
"651031"	0.001	-0.001
"651035"	0.002	0.002
"651040"	-0.001	0.001
"651044"	0.001	0
"651051"	-0.002	-0.002
"651055"	0	0
"651059"	-0.001	-0.002
"651060"	-0.001	-0.003
"651062"	0.001	-0.002
"651064"	0.003	0
"651065"	0	0
"651073"	0.001	0
"651075"	-0.001	0
"651076"	0.005	0
"651079"	-0.001	-0.003
"65108"	-0.001	0.009
"65109"	0.007	0.004
"651091"	0.001	0.002
"651096"	0	-0.003
"6511"	-0.001	-0.003
"65110"	0.001	0
"651100"	-0.001	0
"651101"	-0.001	-0.001
"651102"	0.001	-0.001
"651106"	-0.006	-0.007
"651107"	0.001	0
"651111"	0	0.001
"651112"	0	0
"651113"	-0.001	0.001
"651115"	-0.001	0
"651116"	0.003	0.002
"651118"	0	0.001
"651122"	0	-0.001
"651123"	-0.002	0
"651125"	0.001	0.001
"651126"	0.001	0.003
"651128"	0	0.002
"651131"	-0.001	0
"651133"	0.003	-0.001
"651137"	0	0
"651140"	0.002	-0.002
"651141"	-0.002	0
"651143"	-0.004	0.014
"651150"	-0.001	0.001
"651158"	-0.001	-0.002
"651166"	0	-0.002
"651167"	0	0
"651168"	0	0.001
"651169"	0.003	0.005
"65117"	0.003	0.005
"651172"	0	-0.002
"651175"	0.002	0.001
"651177"	0.001	0.001
"651178"	0	-0.002
"651180"	0	-0.001
"651186"	0.002	0.001
"651189"	-0.001	-0.002
"651192"	0.002	0.001
"651195"	-0.002	-0.002
"651196"	-0.002	-0.004
"651197"	0	-0.003
"6512"	0	-0.002
"651200"	0	-0.003
"651208"	0	0
"65121"	0	0.001
"651212"	0	-0.001
"651213"	0	0.001
"651219"	-0.001	-0.001
"65122"	0.001	0.002
"65123"	-0.006	-0.006
"651231"	-0.001	-0.002
"65124"	0.007	0.008
"651243"	-0.001	-0.004
"651249"	0	0
"65125"	0.003	0.001
"651268"	0.001	0
"651270"	-0.002	0.001
"651272"	-0.003	0.002
"651278"	-0.01	0.041
"651280"	0.001	0.001
"651285"	0.001	0.004
"651286"	0.001	0
"651287"	0	0
"651289"	0.001	-0.002
"651291"	-0.001	-0.002
"651293"	0.001	0
"651296"	0.001	0.002
"6513"	0.018	0.016
"651301"	0	0.001
"651302"	-0.001	0
"651309"	-0.004	0.009
"651311"	-0.01	-0.007
"651314"	0.002	0.001
"651315"	0.001	0
"651316"	-0.008	-0.006
"651319"	0.001	0.001
"651321"	0	-0.001
"651324"	0.001	0.001
"651325"	0.001	-0.001
"651326"	-0.001	-0.002
"651333"	-0.002	-0.003
"651337"	-0.001	-0.002
"651338"	0	0.002
"651341"	-0.002	0.001
"651344"	-0.001	0.001
"651345"	0	-0.001
"651348"	-0.004	0
"651353"	-0.001	-0.001
"651354"	0.002	0.002
"651357"	0.001	-0.002
"651361"	0	0.002
"651362"	0.001	-0.002
"651369"	0	-0.001
"651371"	0	-0.002
"651372"	0.001	0.002
"651373"	0	0.001
"651380"	-0.004	-0.002
"651381"	0	-0.001
"651386"	0	0
"651390"	0.001	0
"651398"	0.002	0.001
"6514"	-0.001	0.001
"651400"	-0.001	0
"651401"	-0.002	-0.002
"651403"	0.001	0
"651404"	-0.001	0
"651407"	0.002	-0.001
"651410"	0.001	0.002
"651423"	0.001	-0.001
"651427"	-0.001	0
"651429"	0.002	0
"651430"	0	-0.002
"651436"	-0.001	-0.001
"651441"	-0.002	-0.001
"651450"	0.001	0.001
"651453"	-0.005	-0.013
"651454"	0	0
"651460"	0	0.002
"651463"	-0.002	-0.003
"651465"	0.003	0.001
"651467"	0	0
"651468"	0.001	0.001
"651469"	0	0.027
"651476"	0.002	-0.001
"651481"	0.001	-0.001
"651483"	0.001	0
"651493"	0	-0.002
"651495"	-0.002	0
"6515"	0.013	0
"651503"	-0.002	-0.003
"651506"	0.002	0.001
"651511"	-0.002	-0.005
"651513"	0	-0.003
"651515"	0.001	0
"651518"	-0.001	0
"651520"	-0.001	-0.004
"651524"	0.001	0.003
"651529"	0.001	0
"651536"	-0.001	-0.003
"651537"	-0.001	-0.001
"651546"	0.002	0.003
"651552"	-0.001	0
"651553"	-0.002	-0.003
"651554"	0.002	0.002
"651556"	-0.002	-0.002
"651558"	-0.001	-0.001
"651559"	0.005	0.003
"651561"	0.001	0
"651562"	-0.004	-0.001
"651565"	-0.001	-0.005
"651568"	0.002	-0.002
"651575"	-0.008	0.006
"651576"	-0.001	0.001
"651577"	-0.002	-0.003
"651578"	0.001	0
"651580"	0	0.001
"651581"	-0.001	-0.003
"651586"	0.001	-0.001
"651589"	-0.001	-0.002
"651597"	0	0
"651603"	0	-0.002
"651609"	-0.001	0
"651610"	-0.001	-0.001
"651611"	0.001	0.016
"651612"	0	0
"651617"	0	-0.001
"651619"	-0.002	-0.001
"651621"	-0.019	0.003
"651624"	-0.002	0.001
"651630"	0.001	0.001
"651633"	0	0
"651635"	0.003	0.004
"651638"	0.001	-0.001
"651643"	0.002	0.002
"651647"	0.018	-0.002
"651648"	0	0.001
"651655"	0	0.002
"651659"	-0.001	0
"651665"	0	0
"651668"	0	0.001
"651675"	0	-0.001
"651680"	0.003	0.001
"651682"	-0.002	0
"651685"	-0.001	-0.002
"651686"	0.001	0
"651695"	0.001	0.001
"6517"	-0.001	-0.002
"651701"	-0.001	0
"651704"	-0.001	0.002
"651711"	0.002	0.002
"651713"	-0.001	0
"651714"	-0.002	0.001
"651721"	0	-0.002
"651726"	0	-0.002
"651728"	0	0.001
"651729"	0.001	0.002
"651730"	-0.002	0
"651732"	0.002	0.003
"651738"	-0.002	-0.004
"651741"	-0.001	-0.005
"651745"	0.005	0.001
"651746"	0.001	-0.001
"651747"	0.002	0.001
"651751"	0.02	-0.004
"651752"	0.001	0
"651754"	0	0.001
"651758"	-0.001	-0.002
"651760"	0.002	0.001
"651763"	0.002	0
"651769"	0.001	0
"651771"	0.001	-0.001
"651772"	0.001	-0.004
"651774"	0	0.002
"651777"	0	-0.002
"651787"	0.002	0.001
"651789"	-0.002	-0.003
"651790"	0	-0.001
"651794"	-0.001	-0.001
"6518"	0.009	0.001
"651807"	0.002	0.001
"651808"	-0.001	-0.002
"651809"	0.001	-0.001
"651816"	0.014	0.002
"651820"	0.001	-0.001
"651821"	0.001	0.001
"651825"	0.006	0.002
"651830"	0	-0.003
"651831"	-0.004	-0.001
"651832"	-0.002	-0.003
"651834"	0.001	0.001
"651845"	-0.005	-0.005
"651848"	0	0
"651850"	0.002	0
"651852"	0.001	0
"651853"	-0.001	-0.001
"651859"	0.002	0.002
"651860"	0.001	-0.001
"651864"	0	0
"651868"	0.001	0
"651872"	0.001	0.001
"651876"	0.001	-0.002
"651881"	0.001	-0.002
"651886"	0	0.003
"651892"	0.001	0.001
"651894"	-0.006	-0.007
"651895"	0	0.002
"651896"	0	-0.003
"651898"	0.001	-0.001
"6519"	-0.001	0
"651900"	-0.001	-0.001
"651905"	0.002	0.002
"651907"	-0.002	-0.001
"651908"	0	-0.001
"651913"	0	0
"651914"	0.001	0.002
"651916"	0.001	0.001
"651919"	-0.001	0
"651921"	0	-0.001
"651922"	-0.002	-0.005
"651923"	0	-0.001
"651927"	0.002	0
"651931"	0.002	0.001
"651933"	0	-0.004
"651936"	0	0
"651951"	0.002	0
"651952"	-0.001	0
"651957"	-0.005	-0.006
"651959"	0	-0.003
"651961"	-0.002	0.001
"651962"	0	0.008
"651963"	0.001	0.003
"651965"	0	0
"651966"	0.001	0.002
"651974"	0	0.001
"651976"	-0.009	0.002
"651979"	0	-0.002
"651986"	0	0.003
"651987"	-0.003	-0.004
"651991"	-0.003	0
"651997"	0.001	0.002
"652"	0.006	0.012
"6520"	0.01	0.003
"652000"	0.001	0.003
"652002"	-0.001	0
"652003"	-0.002	-0.001
"652009"	0.002	0
"652011"	0.001	0.001
"652013"	0	0
"652015"	0	-0.004
"652020"	0	0
"652022"	0	0.001
"652025"	0.001	0.003
"652032"	-0.002	-0.001
"652033"	0.001	0
"652034"	0	0.001
"652037"	-0.002	-0.002
"652038"	-0.001	0
"652040"	-0.001	-0.001
"652043"	0.001	0
"652044"	0.001	0.001
"652045"	0.002	0.001
"652046"	0	-0.001
"652048"	0.001	0.002
"652049"	0.001	0
"652051"	0.001	0.003
"652053"	0	0.001
"652054"	0.001	0.001
"652059"	0.001	0.002
"652062"	-0.001	0.001
"652065"	0	0.003
"652067"	-0.002	-0.001
"652068"	0	0
"652070"	0.002	0.001
"652076"	0	-0.002
"652077"	0.002	0.002
"652078"	0	0
"652080"	-0.001	0.001
"652082"	-0.001	-0.001
"652086"	0.002	0.002
"652094"	0.002	0.002
"652097"	-0.001	-0.002
"6521"	0	0
"652101"	0.002	0.003
"652102"	0.001	-0.001
"652111"	0	-0.001
"652113"	0.001	0.004
"652115"	0	-0.001
"652119"	0.002	0.003
"652126"	0	0.002
"652127"	0.002	0.001
"652128"	0	0
"652134"	0	0
"652139"	-0.002	-0.001
"652140"	0	-0.003
"652141"	0.002	0.002
"652142"	0.001	0.001
"652147"	-0.001	0.002
"652148"	0.002	0
"652150"	-0.002	-0.003
"652152"	-0.002	-0.001
"652153"	0.001	0.001
"652155"	0.001	0.002
"652156"	-0.001	-0.003
"652160"	0.001	0
"652161"	0	0.001
"652162"	-0.002	-0.001
"652163"	-0.001	-0.002
"652164"	0	0
"652167"	0	0
"652168"	0.001	0.001
"652169"	0.001	0.001
"65217"	0	0.002
"652173"	-0.002	-0.005
"652175"	0	0
"652179"	-0.001	0.002
"652183"	-0.005	-0.004
"652184"	-0.012	-0.009
"652185"	0.001	0.002
"652190"	-0.001	0
"652191"	-0.001	-0.001
"652194"	-0.008	-0.004
"652195"	0.001	0
"652197"	0.001	0.001
"6522"	0.005	0.004
"65220"	0.002	0
"652202"	0.001	0.002
"652203"	0	0
"652204"	0	0
"652209"	-0.001	0
"652211"	0	0.002
"652213"	0.001	0
"652215"	0.001	-0.001
"652216"	0.002	0.003
"652217"	-0.002	-0.002
"652219"	-0.002	-0.003
"652220"	-0.001	-0.001
"652222"	0.002	0.001
"652224"	0	0.001
"652226"	-0.008	0.003
"652227"	0.002	0.003
"652231"	0.001	0
"652233"	-0.001	0
"652234"	-0.001	0
"652235"	0	0
"652236"	0	0.002
"652238"	-0.002	-0.003
"652242"	0.002	0.001
"652246"	0	0.002
"652249"	-0.001	0.002
"652251"	0	0.001
"652252"	0	0.002
"652255"	-0.001	-0.001
"652256"	-0.001	-0.001
"652258"	0.001	0.001
"652259"	-0.001	-0.002
"652260"	0.002	0.003
"652263"	0.001	-0.001
"652264"	0	-0.001
"652265"	-0.002	-0.001
"652267"	-0.001	-0.002
"652271"	-0.003	0
"652272"	0.001	0.001
"652274"	-0.001	0.002
"652278"	0	0
"652281"	-0.001	-0.001
"652282"	0	0
"652286"	-0.001	-0.002
"652287"	0.005	0.002
"652288"	0	-0.002
"652290"	0.002	0.002
"652292"	0	0
"652294"	0	-0.001
"652298"	0	-0.004
"6523"	-0.036	-0.018
"652300"	0.001	-0.002
"652305"	0	0.001
"652314"	-0.001	-0.008
"652317"	-0.002	0.001
"652322"	0.001	0
"652324"	-0.004	-0.007
"652326"	-0.001	-0.001
"652327"	0.001	0
"652330"	0.001	-0.002
"652331"	0	0.001
"652332"	0.001	-0.003
"652334"	0	-0.001
"652335"	0	0
"652341"	-0.002	-0.003
"652342"	-0.001	-0.001
"652344"	0.001	0
"652349"	0.005	0.002
"652350"	-0.002	0
"652353"	0	0.001
"652354"	0.001	-0.001
"652355"	0	-0.002
"652356"	0.003	0.001
"652357"	0	-0.002
"652358"	-0.028	-0.034
"652367"	-0.002	-0.001
"652368"	0	-0.002
"652369"	0.001	0.001
"652373"	-0.002	-0.002
"652379"	0.001	0.002
"652383"	-0.001	0
"652384"	0	0.001
"652388"	-0.003	-0.005
"652389"	0	-0.001
"652390"	0	-0.002
"652392"	0.001	0
"652393"	-0.001	-0.002
"652396"	-0.001	-0.002
"6524"	0	-0.001
"652400"	0	0.001
"652401"	0.002	0.003
"652404"	-0.001	-0.001
"652405"	0	0
"652408"	0	0
"652416"	-0.004	-0.005
"652417"	-0.001	0
"652418"	0.001	0
"652421"	0.001	0
"652424"	-0.001	-0.001
"652426"	0.002	0.003
"652427"	-0.002	-0.003
"65243"	0.003	0.002
"652430"	0.002	0.002
"652433"	0.001	0.001
"652435"	-0.001	0.001
"652437"	0.001	0.002
"652438"	-0.001	-0.001
"652439"	-0.001	0.002
"65244"	0.006	0
"652441"	0.002	0.002
"652448"	0.002	0.002
"652450"	0	0
"652453"	-0.001	-0.001
"652454"	-0.001	-0.002
"652455"	-0.005	-0.003
"652456"	-0.001	0.001
"652458"	-0.002	0
"652460"	0	-0.001
"652461"	0	-0.004
"652463"	-0.001	-0.002
"652466"	-0.001	-0.001
"652468"	-0.002	-0.001
"652469"	-0.001	-0.001
"652470"	0.002	-0.002
"652471"	0.001	0
"652472"	0.001	0.001
"652476"	-0.001	0
"652479"	-0.003	-0.005
"652480"	-0.001	0
"652481"	-0.006	0
"652483"	0.002	0.001
"652484"	-0.001	-0.002
"652489"	0	0.003
"65249"	-0.005	0.001
"652490"	0	-0.001
"652491"	-0.002	-0.004
"652492"	-0.001	-0.001
"652493"	0.038	0.014
"652495"	0	-0.001
"652496"	0	0.001
"652499"	0	0
"6525"	0.007	-0.001
"65250"	-0.002	-0.002
"652500"	-0.004	0.001
"652501"	0	-0.001
"652505"	0.001	0
"652506"	0	0.002
"652508"	-0.001	-0.002
"65251"	0.007	-0.003
"652510"	-0.001	-0.002
"652512"	-0.001	0
"652513"	0	-0.002
"652515"	-0.002	-0.001
"652517"	0.002	0.001
"652519"	0	-0.001
"652522"	0	0
"652523"	0	-0.001
"652525"	-0.001	-0.002
"652526"	0.001	0.001
"652529"	0.001	0
"652530"	0	-0.001
"652533"	0.002	0.003
"652534"	0	-0.002
"652536"	0	0
"652537"	0.003	0.002
"652540"	-0.001	0
"652541"	-0.005	0.004
